subscale,item,loading
S1,Q04,0.866
S1,Q05,0.823
S1,Q03,0.806
S1,Q08,0.770
S1,Q09,0.762
S1,Q07,0.731
S1,Q01,0.688
S1,Q06,0.671
S2,Q18,0.926
S2,Q12,0.863
S2,Q14,0.846
S2,Q16,0.830
S2,Q13,0.828
S2,Q19,0.825
S2,Q15,0.815
S2,Q10,0.781
S2,Q11,0.661
S3,Q21,0.919
S3,Q28,0.901
S3,Q29,0.851
S3,Q27,0.770
S3,Q22,0.764
S3,Q24,0.759
S3,Q20,0.743
S3,Q23,0.682
S3,Q26,0.506
