Model,AIC,SABIC,HQ,BIC,logLik,X2,df,p
mod_1pl,6484.815,6494.622,6523.198,6580.217,-3215.407,,,
mod_2pl,6451.558,6470.445,6525.481,6635.294,-3173.779,83.25701,25,3.492349e-08
