ID,Theta
1,1.03829889
2,0.42156408
3,-0.37534495
4,0.35706581
5,-0.91110865
6,0.05330961
7,0.96090436
8,-0.05966457
9,-0.08284152
10,-0.68396268
11,0.84020334
12,-0.38747941
13,-0.36110538
14,-0.24813985
15,-0.16986394
16,0.79429776
17,-0.85123793
18,1.50511316
19,-0.08321408
20,0.03304928
21,-0.06493005
22,0.44775256
23,0.56723236
24,-1.33003527
25,-0.25787014
26,1.50511316
27,-1.03029060
28,0.61102207
29,1.50511316
30,-0.85121289
31,-0.92033456
32,0.30713622
33,-0.87562132
34,0.81370457
35,-0.59298221
36,-0.97033442
37,1.50511316
38,1.50511316
39,-0.92303897
40,0.38656111
41,0.35794287
42,1.50511316
43,-0.24686349
44,-0.78890069
45,0.06309271
46,0.37288913
47,1.50511316
48,-0.98638711
49,-0.61612269
50,1.21814464
51,1.09602070
52,-0.78446563
53,-1.12020469
54,-0.64832697
55,0.74741016
56,-0.81872985
57,1.50511316
58,-0.28126003
59,-0.31670987
60,1.50511316
61,0.89049920
62,0.13714801
63,-0.27785626
64,-1.08136852
65,1.50511316
66,0.28826909
67,0.66241388
68,-1.10187150
69,-0.32910433
70,-1.24902358
71,-0.53245230
72,-0.79615586
73,-0.90076444
74,-0.54424795
75,0.16309283
76,1.50511316
77,-1.00542129
78,1.50511316
79,-1.20097884
80,-0.84502115
81,-0.79577089
82,-0.59871756
83,-1.11209529
84,0.65347869
85,1.50511316
86,-0.53976511
87,-0.67477906
88,-0.35839201
89,0.98027762
90,-0.95319942
91,1.50511316
92,-0.39229702
93,-0.32958436
94,-0.30125656
95,-1.20560451
96,1.50511316
97,0.50390102
98,1.50511316
99,-0.83854528
100,-0.71590350
101,-0.63300456
102,-0.80569208
103,-1.10341451
104,1.50511316
105,0.87154008
106,1.50511316
107,0.05711402
108,0.89049920
109,-0.20384210
110,1.50511316
111,1.50511316
112,0.87154008
113,0.20558833
114,-0.90215800
115,-0.43669625
116,-0.57147259
117,-1.18810825
118,0.85464698
119,-0.70684734
120,-0.07293243
121,-1.04627911
122,-0.31958292
123,-1.14421143
124,-0.44970129
125,-0.34266013
126,-0.95565665
127,0.45885582
128,-0.08496234
129,0.58988931
130,-0.79485829
131,-0.27745365
132,-0.59729571
133,-1.31198743
134,-0.46116798
135,0.35474592
136,-0.91840163
137,1.50511316
138,-0.84794595
139,1.50511316
140,1.50511316
141,0.21486374
142,1.50511316
143,0.68148751
144,0.49671150
145,1.50511316
146,-1.01441921
147,-0.53634461
148,0.26547150
149,0.73980843
150,-0.97062156
151,-0.62381274
152,-1.07928449
153,1.09602070
154,-0.24830904
155,1.01022500
156,1.50511316
157,1.12649526
158,-0.94830562
159,-0.80176296
160,-0.71891520
161,-1.00270574
162,-1.08119234
163,-1.20560451
164,1.50511316
165,0.04935299
166,-1.30928403
167,-0.52298206
168,-0.78694079
169,0.55787429
170,-1.20560451
171,-1.09871846
172,1.50511316
173,-0.71962139
174,-0.85702579
175,1.50511316
176,-0.68509861
177,0.89049920
178,0.89049920
179,-0.56473738
180,1.50511316
181,0.13116737
182,-0.25088134
183,-1.21660181
184,-0.29397137
185,-0.27221581
186,-1.05326500
187,-1.02383504
188,-0.46585355
189,-0.02271575
190,1.50511316
191,1.09602070
192,0.05013987
193,-0.81127946
194,-0.85697113
195,-0.40608561
196,1.50511316
197,1.50511316
198,1.50511316
199,-0.66152932
200,-0.79253100
201,-0.67927474
202,-0.80426085
203,1.07553850
204,-0.68131493
205,-1.19512773
206,-1.05103415
207,1.50511316
208,1.05686873
209,-1.33802160
210,-0.98464771
211,-0.97604882
212,0.52603665
213,1.12649526
214,1.07553850
215,1.50511316
216,-0.58482945
217,0.54083136
218,-1.20560451
219,-0.81284881
220,0.12305797
221,1.50511316
222,-0.84011247
223,1.50511316
224,1.50511316
225,-1.05251245
226,-1.20560451
227,1.50511316
228,-1.20560451
229,-0.26008698
230,0.24227939
231,-0.05630070
232,-1.20560451
233,-1.01600052
234,-0.93764944
235,-0.92127683
236,0.13275553
237,-0.58904733
238,-0.85973820
239,-0.89183361
240,-0.63394040
241,1.50511316
242,-0.71085290
243,1.50511316
244,-0.76788633
245,-0.65743015
246,-0.27615722
247,0.69418290
248,-0.86514751
249,1.09602070
250,1.50511316
251,1.50511316
252,1.50511316
253,-0.84914916
