Factor,Eigenvalue,PA_line
1,9.0133,1.5164
2,1.1720,1.4383
3,0.9352,1.3757
4,0.8494,1.3107
5,0.7693,1.2364
6,0.6898,1.1810
7,0.6644,1.1424
8,0.6341,1.0958
9,0.6064,1.0509
10,0.5845,1.0078
11,0.5725,0.9547
12,0.5278,0.9119
13,0.4725,0.8732
14,0.4515,0.8429
15,0.4195,0.7850
16,0.4033,0.7440
17,0.3699,0.7056
18,0.3419,0.6586
19,0.3148,0.6131
20,0.2080,0.5556
