ID,Theta,Error
219,-1.82620748,0.4336956
220,0.01374875,0.4486291
221,3.09453393,1.4636156
222,-1.64951914,0.4222796
223,3.09453393,1.4636156
224,3.09453393,1.4636156
225,-2.21704949,0.4696444
226,-2.21704949,0.4696444
227,3.09453393,1.4636156
228,-2.21704949,0.4696444
229,-0.68159885,0.4082615
230,0.21636807,0.4691497
231,-0.34995676,0.4219810
232,-2.21704949,0.4696444
233,-2.21704949,0.4696444
234,-2.01395249,0.4490628
235,-1.82620748,0.4336956
236,0.01374875,0.4486291
237,-1.15760213,0.4051467
238,-2.01395249,0.4490628
239,-2.01395249,0.4490628
240,-1.48074544,0.4140206
241,3.09453393,1.4636156
242,-1.64951914,0.4222796
243,3.09453393,1.4636156
244,-1.82620748,0.4336956
245,-1.48074544,0.4140206
246,-0.68159885,0.4082615
247,1.38789142,0.6851701
248,-2.01395249,0.4490628
249,1.94810049,0.8643358
250,3.09453393,1.4636156
251,3.09453393,1.4636156
252,3.09453393,1.4636156
253,-2.01395249,0.4490628
